CharacteristicName,ResultValue,ResultSampleFraction
Alkalinity_total,0,Dissolved
Ammonia,270,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,23.64,Total
Chlorophyll a,0,
Conductivity,761,Total
Inorganic carbon,4450,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,430,"Filtered, field"
Nitrite,20,"Filtered, field"
Organic carbon,930,Dissolved
pH,8.52,
Potassium,0,Dissolved
Silica_reactive,3.18,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),74,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,1400,Dissolved
Total Particulate Carbon,3470,Suspended
Total Particulate Nitrogen,396,Non-Filterable (Particle)
Total Particulate Phosphorus,96,Non-Filterable (Particle)
Total Phosphorus_mixed forms,77,Dissolved
Total suspended solids,70,Non-Filterable (Particle)
Total suspended solids,58,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,10,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,24.15,Total
Chlorophyll a,0,
Conductivity,298,Total
Inorganic carbon,1870,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
Nitrate,,"Filtered, field"
Nitrite,1,"Filtered, field"
Organic carbon,780,Dissolved
pH,8.34,
Potassium,0,Dissolved
Silica_reactive,1.36,Total
Sodium,0,"Filtered, field"
Soluble Reactive Phosphorus (SRP),18,"Filtered, field"
Sulfate,0,Dissolved
Total Nitrogen_mixed forms,435,Dissolved
Total Particulate Carbon,2430,Suspended
Total Particulate Nitrogen,345,Non-Filterable (Particle)
Total Particulate Phosphorus,72,Non-Filterable (Particle)
Total Phosphorus_mixed forms,25,Dissolved
Total suspended solids,35,Non-Filterable (Particle)
Total suspended solids,43,Non-Filterable (Particle)
Alkalinity_total,0,Dissolved
Ammonia,20,"Filtered, field"
Calcium,0,Dissolved
Chloride,0,"Filtered, field"
Chlorophyll a,9.62,Total
Chlorophyll a,0,
Conductivity,304,Total
Inorganic carbon,1910,Dissolved
Iron,0,Dissolved
Magnesium,0,Dissolved
Manganese,0,Dissolved
