EXPOCODE,Cruise_ID,Observation_Type,Sample _ID,Station_ID,Cast_number,Niskin_ID,Year_UTC,Month_UTC,Day_UTC,Time_UTC,YearDay_UTC,Latitude_Dec_Deg,Longitude_Dec_Deg,Depth_Bottom_meters,Depth_meters,CTDPRES_dbar,FlowThrough-Intake_Temperature_deg_C,TSGTEMP_deg_C,CTDTEMP_ITS90,TSGSAL_PSS78,CTDSAL_PSS78,Salinity_PSS78,Salinity_Flag,CTDOXY_mg/L,CTDOXY_umol/kg,DIC_umol/kg,DIC_Flag,TA_umol/kg,TA_Flag,pH_TS_20C,pH_TS_25C,pH_Flag,Silicate_umol/kg,Nitrite_and_Nitrate_umol/kg,Ammonium_umol/kg,Phosphate_umol/kg,Nutrients_Flag
33GG20140301,GU1401 Leg2,Niskin,10102,1,1,2,2014,3,1,14:34:00,60.6069,40.8967,-69.1583,72,67,67,-999,-999,4.36,-999,33.161,-999,9,18,548,2082.2,2,2207.7,2,7.8152,7.7434,2,5.9,8,0.4,0.8,2
33GG20140301,GU1401 Leg2,Niskin,10112,1,1,12,2014,3,1,14:34:00,60.6069,40.8967,-69.1583,72,3.5,4,-999,-999,4.36,31.739,33.157,-999,9,0,0,2095.1,2,2201.2,2,7.8055,7.7339,2,3.4,7.7,0.4,0.8,2
33GG20140301,GU1401 Leg2,Niskin,80202,8,2,2,2014,3,2,6:18:00,61.2625,40.2467,-67.7,1317,501,501,-999,-999,6.07,-999,35.021,-999,9,15.2,465,2195.9,2,2311.1,2,7.7456,7.6749,2,15.1,21,0.3,1.2,2
33GG20140301,GU1401 Leg2,Niskin,80204,8,2,4,2014,3,2,6:18:00,61.2625,40.2467,-67.7,1317,249,-999,-999,-999,9.51,-999,35.228,-999,9,-999,-999,2206.3,2,2318,2,7.7437,7.673,2,-999,-999,-999,-999,9
33GG20140301,GU1401 Leg2,Niskin,80212,8,2,12,2014,3,2,6:18:00,61.2625,40.2467,-67.7,1317,2.2,3,-999,-999,7.54,32.205,33.814,-999,9,0,0,2110.1,2,2250.6,2,7.8446,7.7722,2,4.7,9,0.5,0.6,2
33GG20140301,GU1401 Leg2,Niskin,90302,9,3,2,2014,3,2,7:58:00,61.3319,40.375,-67.7067,227,226,226,-999,-999,10.92,-999,35.336,-999,9,4.5,137,2187.9,2,2325.3,2,7.8059,7.734,2,12,19.2,0.3,1,2
33GG20140301,GU1401 Leg2,Niskin,90306,9,3,6,2014,3,2,7:58:00,61.3319,40.375,-67.7067,227,114,113,-999,-999,12.28,-999,35.218,-999,9,4.9,150,2141,3,2321.3,6,7.9121,7.8386,4,5.3,10.1,0.4,0.6,2
33GG20140301,GU1401 Leg2,Niskin,90312,9,3,12,2014,3,2,7:58:00,61.3319,40.375,-67.7067,227,2,3,-999,-999,6.96,32.248,33.623,-999,9,2.4,72,2095,2,2245.4,2,7.84,7.7676,2,3.8,8,0.3,0.5,2
33GG20140301,GU1401 Leg2,Niskin,120402,12,4,2,2014,3,2,13:50:00,61.5764,40.9317,-67.71,63,61.9,62,-999,-999,4.38,-999,32.935,-999,9,14.8,450,2077.2,4,2189.6,4,7.8495,7.7771,2,1.9,3.5,0.6,0.3,2
33GG20140301,GU1401 Leg2,Niskin,120406,12,4,6,2014,3,2,13:50:00,61.5764,40.9317,-67.71,63,29.8,30,-999,-999,4.37,-999,32.936,-999,9,0,0,2068.9,2,2211.7,2,7.8456,7.7733,2,1.7,3.5,0.9,0.4,2
33GG20140301,GU1401 Leg2,Niskin,120411,12,4,11,2014,3,2,13:50:00,61.5764,40.9317,-67.71,63,2.8,3,-999,-999,4.39,32.365,32.937,-999,9,20.2,616,2067.6,2,2208.7,2,7.8514,7.779,2,0.7,3.4,0.7,0.3,2
33GG20140301,GU1401 Leg2,Niskin,190502,19,5,2,2014,3,3,9:21:00,62.3896,41.755,-65.435,1850,501,501,-999,-999,6.11,-999,35.018,-999,9,12.1,370,2195.2,2,2310.7,2,7.7321,7.6617,2,13.7,20.8,0.5,1.1,2
33GG20140301,GU1401 Leg2,Niskin,190503,19,5,3,2014,3,3,9:21:00,62.3896,41.755,-65.435,1850,372,372,-999,-999,6.88,-999,35.052,-999,9,8.7,267,2197.8,2,2309.7,2,7.7344,7.6639,2,13.6,22.1,0.3,1.2,2
33GG20140301,GU1401 Leg2,Niskin,190504,19,5,4,2014,3,3,9:21:00,62.3896,41.755,-65.435,1850,249,249,-999,-999,8.38,-999,35.139,-999,9,6.3,193,2202.5,2,2318.4,2,7.7334,7.6629,2,12.9,23.1,0.6,1.2,2
