Waterbody Lake ID,Waterbody Name,Latitude,Longitude,Sample Date,"Alkalinity, Gran (mg/L CaCO3)",Calcium (mg/L),Chloride (mg/L),"Color, true (TCU)",Conductivity (µS/cm),Dissolved Inorganic Carbon(mg/L),Dissolved Organic Carbon (mg/L),Iron (µg/L),Potassium (mg/L),Magnesium (mg/L),Sodium (mg/L),Ammonia+Ammonium (µg/L),Nitrate+Nitrite (µg/L),Total Kjeldahl Nitrogen (µg/L),pH,Total Phosphorus (µg/L),Reactive Silicate (mg/L),Sulphate (mg/L),Secchi (m)
17-6548-49368,Canal L.,44.54962,-79.05543,01/05/08,103,34.3,26.1,26.4,229,25.4,5.6,,0.77,2.21,3.63,40,6,450,7.98,19.4,0.6,6,1.9
17-4857-47670,Fanshawe L.,43.04463,-81.17669,01/05/08,191,65.6,34.6,30,549,45.4,4.3,,3.12,14.2,18.8,190,NA,894,8.21,52.5,0.42,24.5,0.6
17-6715-48930,"Scugog, L.",44.16234,-78.83664,01/05/08,135,46.7,34.5,19.2,390,32.5,6.6,,1.89,6.77,14.1,24,342,565,8.25,10.1,0.02,18.9,2.8
17-6111-50550,"Cecebe, L.",45.63073,-79.55557,05/05/08,4.22,2.72,2.99,50.8,38.2,1.2,5.8,,0.615,0.63,2.47,12,112,346,6.47,14.3,2.06,5.15,2.5
17-6239-50430,Doe L.,45.57145,-79.38479,05/05/08,5.4,2.84,2.89,32.8,37.8,1.6,4.9,,0.595,0.625,2.36,8,110,273,6.61,11.4,2.2,4.6,2.2
18-2779-50548,Aylen L.,45.59678,-77.84089,06/05/08,9.02,3.7,0.51,12.6,43.8,2.6,3.3,,0.67,1.52,1.15,6,100,178,6.93,3.5,1.98,7.35,6.1
17-5758-51468,Bain L.,46.47919,-80.01008,06/05/08,7.98,3.78,2.7,13.4,42.6,2.04,4.9,,0.415,1.16,1.56,12,56,258,6.99,5.7,0.82,5.1,5
17-5664-50851,Balsam L.,45.91729,-80.14575,06/05/08,2.35,1.62,0.28,62,20,1.12,8.4,,0.405,0.545,0.74,24,68,393,6.05,15.5,1.16,3.55,1.6
17-7074-49293,Buckhorn L.,44.53925,-78.3518,06/05/08,75.3,28.6,11.4,59.6,206,12.2,6.5,,0.91,2.72,5.98,80,226,693,7.99,14.5,1.38,9.45,2.6
18-3369-49845,Buckshot L.,44.99168,-77.0753,06/05/08,23.5,NA,1.86,22.6,69.4,6.2,5.5,,NA,NA,NA,12,74,263,7.26,8.1,1.88,5.6,5.8
17-6713-51311,Chant Plain L.,46.31548,-78.76951,06/05/08,7.04,3.2,2.4,41,41.2,2,6.2,,0.685,1.08,2.09,14,96,291,6.79,12.7,2.2,5.25,2.7
17-5942-51055,Clear L.,46.09631,-79.76844,06/05/08,6.36,2.96,0.92,16,35,2,4.5,,0.495,1.05,1.13,12,28,272,6.71,8.2,0.88,5.75,5
17-5601-51477,Deer L.,46.41125,-80.21603,06/05/08,15,5.62,1.41,64.8,55.2,3.9,8.3,,0.57,2.04,1.11,24,58,489,7.07,17.7,1.54,5.5,1.8
18-2891-50334,Kamaniskeg L.,45.39574,-77.69934,06/05/08,6.06,3.12,2.5,24.6,41.8,1.7,4.5,,0.56,1.02,2.11,8,120,233,6.81,6.2,2.26,6.1,4.3
17-7170-49371,Lower Buckhorn L.,44.55744,-78.28268,06/05/08,75,29.5,11.4,39,202,12.2,5.5,,1.05,2.8,6.2,36,214,428,7.98,15.1,1.32,9.3,3.3
18-3267-49749,Mazinaw L.,44.91465,-77.19809,06/05/08,19.8,NA,5.14,17.4,74,5.3,4.6,,NA,NA,NA,6,194,210,7.16,4.8,2.06,6.15,7.5
17-5732-51489,Muskosung L.,46.49026,-80.04489,06/05/08,14.2,5.28,0.76,31.4,48.4,3.44,6.4,,0.465,1.6,0.105,16,54,350,7.18,7.5,1.12,5.25,3.3
17-6382-51179,"Nosbonsing, L.",46.20738,-79.19729,06/05/08,13,4.64,2.94,30.6,53.4,3.3,4.5,,0.895,1.49,0.1,22,4,414,7.13,17.4,3.1,5.25,2.5
17-5950-51006,Restoule L.,46.05375,-79.75772,06/05/08,4.29,2.76,4.15,80.6,41.6,1.12,6.5,,0.555,0.75,2.88,16,116,362,6.47,10.2,2.04,4.8,2.6
17-7310-49388,Stony L.,44.55304,-78.15428,06/05/08,74.5,27.2,10.8,26.2,196,12.2,5.4,,0.8,2.59,5.57,30,224,384,7.94,15.2,1.36,9,3.8
17-6290-51301,Trout L.,46.31667,-79.32132,06/05/08,11.9,5.2,14.8,11.6,99.2,3.36,3.1,,0.71,1.54,5.89,6,166,225,6.98,4.3,0.96,6.25,5.1
17-6371-51109,Wasi L.,46.14117,-79.22335,06/05/08,11.4,4.08,1.33,84.4,43,2.66,8.6,,0.885,1.4,1.33,28,16,554,7.02,36.7,2.08,4.05,1.2
17-6140-50979,Wolfe L.,46.02567,-79.52476,06/05/08,5.04,2.76,1.27,32.8,30.8,1.4,5.7,,0.56,0.715,1.16,14,68,327,6.58,7.8,1.1,4.55,3.5
17-7255-49721,Alder L.,44.86771,-78.14679,07/05/08,13.1,NA,0.51,57.8,25.8,1.1,8.2,,NA,NA,NA,28,68,389,7.23,9.8,1.28,4.8,3
18-2900-50140,Fosters L.,45.24749,-77.6756,07/05/08,49.8,NA,1.68,45.8,121,11.6,9.4,,NA,NA,NA,30,78,419,7.23,9.2,3.44,6.5,3.5
17-7329-49698,Tallan L.,44.84559,-78.05361,07/05/08,91.3,NA,3.13,18.4,194,NA,6,,NA,NA,NA,62,8,404,7.57,15.5,1.88,6.15,4.8
18-2756-49393,Cordova L.,44.56294,-77.82658,08/05/08,41.5,NA,5.37,41.6,113,10.1,7,,NA,NA,NA,20,20,369,7.26,11.6,1.36,7.15,2.9
17-6806-50080,Red Pine L.,45.2106,-78.69943,08/05/08,2.86,NA,0.58,10.6,21.4,1,3.3,,NA,NA,NA,20,106,207,6.27,4.5,0.8,5.15,5.5
18-2850-49215,Rylstone L.,44.41705,-77.71063,08/05/08,61.1,NA,5.34,34.2,146,13,6.6,,NA,NA,NA,22,60,336,7.42,9.2,1.58,7.05,3.9
18-4196-49317,Charleston L.,44.50931,-76.0063,12/05/08,91,25,9.03,15,219,22.9,2.3,,1.43,8.98,6.09,44,62,385,7.92,12.1,0.78,8.4,3.7
17-7310-49342,Dummer L.,44.52237,-78.09236,12/05/08,96.2,39.9,12.8,16,248,23.7,4.3,,0.95,3.12,7.13,28,18,532,8.07,22.4,1.64,8.95,4.8
18-3677-49397,St. Andrew L.s,44.61336,-76.66676,12/05/08,28.5,8.94,2.84,35.2,81.6,7.36,5.8,,0.795,2.53,1.14,30,2,409,7.3,14.6,1.2,5.1,2.1
18-3280-50833,Allumette L.,45.82529,-77.06888,13/05/08,14,5.5,2.37,50,55.4,3.7,6.6,,0.68,1.6,2.58,24,116,349,6.9,12.6,2.16,5.95,2.5
18-3741-49489,Bobs L.,44.71933,-76.54847,13/05/08,50.7,16.4,4.04,17.2,128,12.8,4.8,,0.885,4,2.59,26,2,376,7.72,10.4,1.32,5.65,3.4
18-3651-49486,Eagle L.,44.66903,-76.69858,13/05/08,44.2,16.1,6.13,9.8,124,10.5,4,,0.895,4.14,4.24,20,2,331,7.69,10,0.68,5.55,3.9
17-6026-49666,Gloucester Pl.,44.84849,-79.70192,13/05/08,59.6,25.6,19.8,31.4,204,15.5,5.2,,1.25,4.49,12.8,38,66,397,7.68,9.8,1,10.2,4.5
18-3640-49528,Leggat L.,44.71408,-76.7203,13/05/08,30.2,10.4,0.91,9.2,65,6.42,3.2,,0.525,1.95,1.1,30,42,337,NA,11.4,0.02,4.25,6.3
17-6058-49199,Little L.,44.42608,-79.66988,13/05/08,55.7,25,17.7,31.2,190,13.9,5.2,,1.21,4.38,12,28,70,357,7.63,9.4,1.08,9.65,5
17-6436-50702,Peyton L.,45.77296,-79.15145,13/05/08,9.63,1.34,0.19,17,15.4,0.54,3,,0.325,0.32,0.54,38,160,255,NA,6.2,0.8,3.6,4.6
17-6286-49481,"Couchiching, L.",44.65781,-79.37144,14/05/08,106,40.1,32.8,5.2,368,24.4,4.4,,2.01,6.8,2.14,32,46,400,8.18,8,0.72,18.6,3
18-3577-50825,Lac Coulonge,45.88988,-76.83743,14/05/08,12.5,5,1.79,52.6,49.8,2.88,6.9,,0.63,1.46,2.33,16,126,324,7.04,14.8,2.12,6,2.5
17-6016-49633,Little L.,44.81889,-79.71163,14/05/08,157,56.8,73.3,28.4,593,37.9,6.9,,3.78,7.3,50.2,132,138,699,8.3,31.4,0.66,12.3,2
17-6328-49494,"St. John, L.",44.6841,-79.3271,14/05/08,69.2,23.3,9.71,30,182,17.2,7.1,,1.01,3.78,6.48,86,10,535,7.76,13.9,2.5,7.85,3
17-6065-49697,Tea L.,44.88113,-79.65594,14/05/08,24.7,9.36,8.57,61.6,95.4,6.12,7.3,,0.72,1.97,5.79,40,50,401,7.3,11.4,0.76,6,2
18-3808-50183,White L.,45.28,-76.52525,14/05/08,108,31.4,3.88,15,229,26.5,5.3,,0.76,8.43,2.53,56,6,412,8.03,14.7,2.3,6.6,4.2
17-6532-49909,Bigwind L.,45.05495,-79.06042,15/05/08,2.63,2.04,0.55,16.8,22.2,0.8,3.2,,0.305,0.565,0.815,14,84,224,6.46,6.3,0.8,5,4.7
18-3287-50341,"Clear, L.",45.43305,-77.17014,15/05/08,108,35.3,10.5,4.2,255,26.5,3.5,,0.75,6.68,5.57,24,6,334,8.27,17.9,1.46,8.45,4
17-6500-49453,Dalrymple L.,44.67843,-79.118,15/05/08,119,43.6,12.2,32,285,28.2,6.8,,1.27,4.19,6.99,42,2,505,7.57,16.9,1.96,8.45,2.7
17-6164-50763,Eagle L.,45.82012,-79.49621,15/05/08,7.33,2.24,1.91,14,27.8,0.8,2.8,,0.55,0.535,1.46,10,40,258,NA,7.2,0.9,4.9,4
17-5814-49627,Farlain L.,44.81417,-79.96962,15/05/08,62.2,19.1,1.64,5,142,14.8,5.1,,0.36,4.25,1.13,156,80,662,8.08,12.1,0.04,5.85,3
17-6738-50244,Fletcher L.,45.34762,-78.79607,15/05/08,3.69,2.14,0.56,24.2,25.6,1.04,4.2,,0.38,0.86,0.86,16,110,264,6.57,7.3,1.34,5,4.5
17-6651-49559,Head L.,44.73665,-78.91479,15/05/08,73.6,16.4,3.72,17,160,17.5,3.9,,0.6,2.77,2.35,28,72,323,7.51,8.9,1,5,5.3
17-6818-50232,Kimball L.,45.33829,-78.68144,15/05/08,1.67,1.82,0.32,13.2,20.6,0.7,3.3,,0.3,0.545,0.61,12,106,197,6.18,5.5,1.1,5.2,8
18-3030-50572,Round L.,45.65529,-77.52674,15/05/08,15.2,5.6,1.79,34.6,56.4,3.78,6,,0.845,1.97,2.03,8,92,269,7.09,8.6,3.34,6.1,3.7
17-7116-49585,Catchacoma L.,44.75512,-78.32641,16/05/08,13.2,7.02,2.97,38.6,54.4,3.38,6.1,,0.385,0.995,1.97,12,140,310,7.01,5.2,1.58,5.15,4.1
17-6554-50468,Cripple L.,45.56709,-79.01363,16/05/08,0.83,1.32,0.14,30.6,16.2,0.62,4.2,,0.25,0.33,0.6,20,30,284,5.94,9.1,1.22,4.05,2.7
17-6567-50131,Lake of B.s,45.19278,-79.09464,16/05/08,3.68,2.62,3.02,14.6,34.8,1.06,3.5,,0.395,0.81,2.21,6,158,191,6.53,4.5,1.56,5.65,5.5
15-7025-53379,Arrow L.,48.15082,-90.32207,18/05/08,21.6,NA,0.59,6.2,62.8,5.52,2.9,,NA,NA,NA,10,44,171,7.12,5.5,3.72,5.5,7
15-7050-54058,Athelstane L.,48.77185,-90.20021,18/05/08,19.4,NA,0.51,21.6,51.8,5.18,6.6,,NA,NA,NA,8,42,289,7.05,7.9,3.26,2.75,4.5
15-6578-54141,Bedivere L.,48.86462,-90.8573,18/05/08,10.7,NA,0.3,75.4,33.8,2.4,11.5,,NA,NA,NA,20,96,463,6.78,14.8,3.22,2.35,1.5
15-6747-53842,Burchell L.,48.58215,-90.63503,18/05/08,23.8,NA,3.91,13.2,97.8,6.42,4.8,,NA,NA,NA,8,124,216,7.1,3.1,2.72,12.8,7
15-6758-53944,Crayfish L.,48.69624,-90.63275,18/05/08,8.16,NA,1.55,47.4,32,2.24,7.6,,NA,NA,NA,12,84,327,6.69,8.6,2.18,2.2,1.8
15-6827-54135,"des Mille Lacs, La.",48.83631,-90.52892,18/05/08,16.8,NA,2.16,102,51.8,3.92,16.1,,NA,NA,NA,10,80,540,6.88,24,2.28,1.7,2
15-6828-53703,Nelson L.,48.46217,-90.53554,18/05/08,9.65,NA,0.39,81,34,2.38,13.3,,NA,NA,NA,12,46,477,6.65,12.4,2.82,2.5,2
15-6844-53328,North L.,48.12117,-90.55788,18/05/08,43.8,NA,1.01,7.6,102,10.6,3.3,,NA,NA,NA,10,46,212,7.38,13.6,3.96,4.65,6
15-6723-53466,Northern Light L.,48.31181,-90.65414,18/05/08,10.1,NA,0.56,63.8,35.4,2.62,11.9,,NA,NA,NA,12,88,424,6.66,12,2.28,2.35,2
15-6843-53443,Sunbow L.,48.22095,-90.52484,18/05/08,13.4,NA,0.74,37.6,41.6,3.76,8.6,,NA,NA,NA,14,102,442,6.86,12.7,1.84,2.4,2.7
15-6832-53585,Titmarsh L.,48.36046,-90.53135,18/05/08,10,NA,0.29,20.8,35.2,3.18,6,,NA,NA,NA,8,76,244,6.78,6,1.84,2.5,3.3
17-5000-54254,Pool L.,48.98731,-80.99493,20/05/08,77.7,21.2,0.92,18.2,158,18.7,6,,1.04,4.06,1.22,24,4,394,8.04,11.9,0.56,1.8,2.5
15-6910-53378,Addie L.,48.16725,-90.43234,21/05/08,23.3,8.32,1.74,51.4,60.6,5.86,7.6,,0.415,2.18,1.16,26,14,447,7.45,11.7,3,2.75,1.9
15-7091-53688,Batwing L.,48.44251,-90.17586,21/05/08,12.4,4.06,0.37,47.6,36.6,3.06,9.8,,0.38,1.67,1.01,16,56,470,7,9,1.58,2.8,2.5
