DatasetName,MonitoringLocationID,MonitoringLocationName,MonitoringLocationLatitude,MonitoringLocationLongitude,MonitoringLocationHorizontalCoordinateReferenceSystem,MonitoringLocationHorizontalAccuracyMeasure,MonitoringLocationHorizontalAccuracyUnit,MonitoringLocationVerticalMeasure,MonitoringLocationVerticalUnit,MonitoringLocationType,ActivityType,ActivityMediaName,ActivityStartDate,ActivityStartTime,ActivityEndDate,ActivityEndTime,ActivityDepthHeightMeasure,ActivityDepthHeightUnit,SampleCollectionEquipmentName,CharacteristicName,MethodSpeciation,ResultSampleFraction,ResultValue,ResultUnit,ResultValueType,ResultDetectionCondition,ResultDetectionQuantitationLimitMeasure,ResultDetectionQuantitationLimitUnit,ResultDetectionQuantitationLimitType,ResultStatusID,ResultComment,ResultAnalyticalMethodID,ResultAnalyticalMethodContext,ResultAnalyticalMethodName,AnalysisStartDate,AnalysisStartTime,AnalysisStartTimeZone,LaboratoryName,LaboratorySampleID
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,"Alkalinity, total",,Dissolved,0,ueq/L,,,3.4,ueq/L,Method Detection Level,Final,,,,,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Ammonia,as NH4,"Filtered, field",270,ug/L,,,2.5,ug/L,Method Detection Level,Final,,,,FWI-DFO Ammonia-Nitrogen,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Calcium,,Dissolved,0,mg/L,,,0.02,mg/L,Method Detection Level,Final,,,,FWI-DFO Calcium by Atomic Absorption,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Chloride,as Cl,"Filtered, field",0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Chloride,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Chlorophyll a,,Total,23.64,ug/L,,,0.23,ng,Method Detection Level,Final,,,,FWI-DFO Chlorophyll a Gross Fluorescence,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Chlorophyll a,,,0,ug/L,,,0.23,ng,Method Detection Level,Final,,,,FWI-DFO Chlorophyll a Liquid Chromatography,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Conductivity,,Total,761,uS/cm,,,0.5,uS/cm,Method Detection Level,Final,,,,FWI-DFO Specific Contuctance,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Inorganic carbon,,Dissolved,4450,umol/L,,,10,umol/L,Method Detection Level,Final,,,,FWI-DFO Dissolved Inorganic Carbon,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Iron,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Iron by Atomic Absorption,,,,FWI,W_277
Lake Winnipeg Chemistry data from 2002 to 2004,1,South Basin 1,50.38758333,-96.81013889,WGS84,,,,,Lake/Pond,Sample-Routine,Surface Water,1/6/2002,10:35:00,,,,,,Magnesium,,Dissolved,0,mg/L,,,0.01,mg/L,Method Detection Level,Final,,,,FWI-DFO Magnesium by Atomic Absorption,,,,FWI,W_277
