water_temp_celcius,doxy_mg_L,pH,chl_a_mg_L,year,Remarks
15.13135802,10.05148515,,0.005019449,1986,estuary_chesapeakebay_cb1.0
17.72894737,9.556084656,8.15,0.007634357,1984,estuary_chesapeakebay_cb1.1
17.03627451,9.514302135,7.912121212,0.007910927,1984,estuary_chesapeakebay_cb2.1
16.83651877,9.021766724,,0.00537534,1984,estuary_chesapeakebay_cb2.2
16.60376068,8.752061856,7.732704403,0.00815086,1984,estuary_chesapeakebay_cb3.1
16.42857143,9.055945946,7.955367232,0.009787917,1984,estuary_chesapeakebay_cb3.2
16.8336478,10.08314961,8.17970297,0.014436603,1984,estuary_chesapeakebay_cb3.3c
19.82430108,9.529568035,8.195360825,0.015433841,1984,estuary_chesapeakebay_cb3.3e
19.86666667,9.507969762,8.292397661,0.018484741,1984,estuary_chesapeakebay_cb3.3w
16.93011647,9.548280467,8.160119048,0.011741302,1984,estuary_chesapeakebay_cb4.1c
19.79847495,8.930459519,8.2625,0.011514524,1984,estuary_chesapeakebay_cb4.1e
20.01113537,9.672697368,8.219306931,0.016823513,1984,estuary_chesapeakebay_cb4.1w
16.89101498,9.616227045,8.195505618,0.009956277,1984,estuary_chesapeakebay_cb4.2c
19.75786026,9.088903509,,0.009634086,1984,estuary_chesapeakebay_cb4.2e
19.58217391,8.999585153,8.155737705,0.014713838,1984,estuary_chesapeakebay_cb4.2w
16.74751656,9.485282392,8.207821229,0.009064556,1984,estuary_chesapeakebay_cb4.3c
19.47991361,8.840607375,8.193243243,0.008960905,1984,estuary_chesapeakebay_cb4.3e
19.60563991,8.935315904,,0.014097657,1984,estuary_chesapeakebay_cb4.3w
17.34254967,9.841791045,8.255952381,0.010554824,1984,estuary_chesapeakebay_cb4.4
17.15992011,9.543746667,8.316751269,0.009243197,1984,estuary_chesapeakebay_cb5.1
16.45205931,9.275827815,,0.00991645,1985,estuary_chesapeakebay_cb5.1w
17.38583333,9.420116667,,0.008779992,1984,estuary_chesapeakebay_cb5.2
17.30989399,9.210088496,,0.008428176,1984,estuary_chesapeakebay_cb5.3
17.82929119,9.510241908,8.294757709,0.00857989,1984,estuary_chesapeakebay_cb5.4
18.66969201,9.329480255,8.291792035,0.009173503,1984,estuary_chesapeakebay_cb5.4w
17.88181853,9.564090966,8.299863014,0.00803174,1984,estuary_chesapeakebay_cb5.5
18.04139595,9.679863469,8.310123051,0.008363721,1984,estuary_chesapeakebay_cb6.1
18.02541929,9.556742056,8.307890772,0.007998723,1984,estuary_chesapeakebay_cb6.2
17.99123704,9.313502793,8.256908752,0.008243601,1984,estuary_chesapeakebay_cb6.3
17.88618182,9.318535547,8.155284211,0.007613149,1984,estuary_chesapeakebay_cb6.4
18.07378571,9.312586408,8.240328947,0.008150652,1984,estuary_chesapeakebay_cb7.1
17.69368093,8.983760587,8.171074169,0.008988318,1984,estuary_chesapeakebay_cb7.1n
18.11224808,9.498631783,8.280330097,0.007290389,1984,estuary_chesapeakebay_cb7.1s
18.04633459,9.462191288,8.279676806,0.007198102,1984,estuary_chesapeakebay_cb7.2
18.04905671,9.062341556,8.223955224,0.006712548,1984,estuary_chesapeakebay_cb7.2e
17.74187985,9.21790538,8.124688889,0.005527184,1984,estuary_chesapeakebay_cb7.3
17.68481603,8.935828467,8.100309735,0.005966012,1984,estuary_chesapeakebay_cb7.3e
17.12954259,8.766810056,8.07260274,0.00472683,1984,estuary_chesapeakebay_cb7.4
17.12887037,8.632568773,8.037066667,0.00411629,1984,estuary_chesapeakebay_cb7.4n
17.68253623,8.819271403,8.026817102,0.007358609,1984,estuary_chesapeakebay_cb8.1
17.29139332,8.774781716,8.026,0.006229461,1984,estuary_chesapeakebay_cb8.1e
18.02539095,7.674625,7.574605809,0.011423927,1998,estuary_chesapeakebay_ebb01
17.65079412,7.833562582,7.640432277,0.00892987,1989,estuary_chesapeakebay_ebe1
16.18655617,9.632596685,,0.011401134,1984,estuary_chesapeakebay_ee1.1
16.25028037,9.498689139,,0.009613353,1984,estuary_chesapeakebay_ee2.1
16.13037475,9.557114625,,0.009121459,1984,estuary_chesapeakebay_ee2.2
15.77671569,9.025490196,,0.010945843,1986,estuary_chesapeakebay_ee3.0
16.4004008,8.851903808,,0.009940157,1984,estuary_chesapeakebay_ee3.1
16.53518124,8.820682303,,0.00850326,1986,estuary_chesapeakebay_ee3.2
18.05069767,8.619767442,,0.009734391,1986,estuary_chesapeakebay_ee3.3
18.25494888,8.976774091,8.110661939,0.011572239,1984,estuary_chesapeakebay_ee3.4
17.92819808,8.819880619,8.112505695,0.009819624,1984,estuary_chesapeakebay_ee3.5
17.19211382,8.372295082,7.740901639,0.010038377,1998,estuary_chesapeakebay_eld01
17.61573705,7.7366,7.605341365,0.008683904,1998,estuary_chesapeakebay_ele01
16.917,8.751806433,7.845059524,0.011542051,1989,estuary_chesapeakebay_eli2
16.31067708,10.51253264,8.42816092,0.035337916,1985,estuary_chesapeakebay_et1.1
16.18049383,6.858855721,6.42585034,0.003801504,1986,estuary_chesapeakebay_et10.1
15.51717172,9.152658228,,0.005022447,1985,estuary_chesapeakebay_et2.1
15.72276215,10.34307692,7.977464789,0.031649281,1985,estuary_chesapeakebay_et2.2
15.92666667,9.225990099,,0.005000731,1985,estuary_chesapeakebay_et2.3
15.62285012,10.14269136,7.99549505,0.051486619,1985,estuary_chesapeakebay_et3.1
16.82627737,9.251648352,7.417906977,0.031573383,1984,estuary_chesapeakebay_et4.1
16.01451906,9.709454545,,0.01430249,1984,estuary_chesapeakebay_et4.2
17.48040886,8.143247863,7.31,0.016375761,1984,estuary_chesapeakebay_et5.1
16.87598684,8.705436573,7.8812,0.011895447,1984,estuary_chesapeakebay_et5.2
16.16855037,8.75382716,7.077777778,0.020160251,1986,estuary_chesapeakebay_et6.1
16.26699267,8.797799511,,0.012080943,1986,estuary_chesapeakebay_et6.2
16.0885,8.214,,0.011400903,1986,estuary_chesapeakebay_et7.1
16.58435208,8.902444988,,0.00994953,1986,estuary_chesapeakebay_et8.1
16.39325301,9.048674699,,0.007640005,1986,estuary_chesapeakebay_et9.1
17.41908517,9.232148499,8.142423208,0.015531351,1985,estuary_chesapeakebay_le1.1
17.19967213,9.27044335,8.16025641,0.013720058,1985,estuary_chesapeakebay_le1.2
17.23856921,9.18549142,8.161598361,0.012388561,1985,estuary_chesapeakebay_le1.3
16.83858268,8.902056962,8.180100503,0.011578975,1985,estuary_chesapeakebay_le1.4
17.16896,9.669070513,8.396039604,0.01219382,1984,estuary_chesapeakebay_le2.2
17.63489149,9.379448161,8.289411765,0.009124648,1984,estuary_chesapeakebay_le2.3
18.28389522,9.477134438,8.287600224,0.009272823,1984,estuary_chesapeakebay_le3.6
18.46876809,9.492752328,8.292037736,0.008820085,1984,estuary_chesapeakebay_le3.7
18.26761145,9.026218445,8.045626911,0.009517219,1996,estuary_chesapeakebay_le5.5_w
17.06751004,8.428130081,7.793481781,0.009472727,1998,estuary_chesapeakebay_lfa01
17.79313008,7.864567901,7.665942623,0.014443694,1998,estuary_chesapeakebay_lfb01
17.61804384,10.02937182,8.165838509,0.021932282,1986,estuary_chesapeakebay_mat0016
15.13049404,8.249313894,7.277873563,0.002512129,1986,estuary_chesapeakebay_mat0078
17.9511254,6.853074434,6.759967846,0.009043192,2003,estuary_chesapeakebay_mti0015
14.84133791,8.694619377,7.28777027,0.001881214,1986,estuary_chesapeakebay_pis0033
17.3180791,7.6,7.154034091,0.014455896,2003,estuary_chesapeakebay_pxt0455
17.62962357,8.097372742,7.873986486,0.019749799,1985,estuary_chesapeakebay_ret1.1
17.43404605,8.828311258,7.72516129,0.006060766,1986,estuary_chesapeakebay_ret2.1
17.50486656,8.50821485,,0.006323375,1984,estuary_chesapeakebay_ret2.2
17.26133333,8.216247906,,0.01107958,1986,estuary_chesapeakebay_ret2.4
17.91169533,8.705995025,7.140841584,0.014760068,1988,estuary_chesapeakebay_ret5.1a
18.2594186,7.32023393,7.493045977,0.006009087,1989,estuary_chesapeakebay_sbe2
20.68331378,6.849686509,7.283090379,0.005234626,1989,estuary_chesapeakebay_sbe5
16.01759868,8.567161716,,0.005113228,1985,estuary_chesapeakebay_tf1.3
16.63832237,8.451151316,,0.018366375,1985,estuary_chesapeakebay_tf1.4
17.98175182,8.925411335,7.680648464,0.027817605,1985,estuary_chesapeakebay_tf1.5
17.464,8.219699499,7.62345679,0.017634679,1985,estuary_chesapeakebay_tf1.6
18.32415459,7.596306452,7.495402685,0.01175223,1985,estuary_chesapeakebay_tf1.7
17.79711864,9.098296422,7.833333333,0.008877248,1986,estuary_chesapeakebay_tf2.1
17.74854202,9.152586207,7.915979381,0.010052691,1986,estuary_chesapeakebay_tf2.2
17.95636646,9.2390625,7.937857143,0.012371725,1984,estuary_chesapeakebay_tf2.3
17.56519608,8.948190789,7.785365854,0.009070916,1986,estuary_chesapeakebay_tf2.4
17.70475783,8.648247126,6.986424419,0.009835707,1988,estuary_chesapeakebay_tf3.1b
17.11563636,9.233140244,7.070181818,0.008183279,1991,estuary_chesapeakebay_tf3.1e
16.79533101,9.236666667,7.194260563,0.015915095,1994,estuary_chesapeakebay_tf3.2a
18.15691176,9.310125,7.60034398,0.024190088,1988,estuary_chesapeakebay_tf5.5a
18.0397551,7.84218107,7.564238683,0.015881991,1998,estuary_chesapeakebay_wbb05
17.51808955,8.687278378,7.836774194,0.012919859,1989,estuary_chesapeakebay_wbe1
18.29283633,8.93411,8.182201835,0.008230731,1984,estuary_chesapeakebay_we4.1
18.33378891,8.805990414,8.123085299,0.008812142,1984,estuary_chesapeakebay_we4.2
18.20873188,8.879941068,8.145883424,0.007792222,1984,estuary_chesapeakebay_we4.3
18.32777091,8.645988487,8.117717996,0.007291805,1984,estuary_chesapeakebay_we4.4
17.07835052,8.7328125,,0.030634742,2003,estuary_chesapeakebay_wiw0141
16.05831266,10.16848635,8.136656891,0.032994582,1984,estuary_chesapeakebay_wt1.1
15.90931373,9.881372549,7.818639706,0.018163214,1984,estuary_chesapeakebay_wt2.1
16.17647059,9.962745098,7.65026738,0.016313678,1984,estuary_chesapeakebay_wt3.1
16.30520095,10.8465721,8.43356974,0.079126271,1984,estuary_chesapeakebay_wt4.1
17.08883415,10.55164474,8.196516393,0.027588441,1984,estuary_chesapeakebay_wt5.1
15.92029703,10.23415842,8.228638498,0.01723213,1984,estuary_chesapeakebay_wt6.1
15.84275184,10.06879607,,0.019212738,1984,estuary_chesapeakebay_wt7.1
16.78598131,9.793224299,8.23495935,0.020028138,1984,estuary_chesapeakebay_wt8.1
16.85724466,9.70807601,8.175977654,0.018733475,1984,estuary_chesapeakebay_wt8.2
16.38061466,9.440661939,,0.016476895,1984,estuary_chesapeakebay_wt8.3
16.40265849,8.109202454,,0.008679586,1990,estuary_chesapeakebay_wxt0001
17.55229885,8.029885057,7.274450867,0.003628026,2003,estuary_chesapeakebay_wxt0013
17.90994854,9.542241379,8.086206897,0.011904197,1986,estuary_chesapeakebay_xfb1986
14.66176471,9.506617647,,0.011705399,1986,estuary_chesapeakebay_xgg8251
20.95917431,7.899082569,7.948440367,0.015566333,2004,estuary_chesapeakebay_xhf0460
19.69129129,8.692727273,7.758318318,0.033606356,2003,estuary_chesapeakebay_xjg7035
12.47883598,9.110582011,,0.009605263,1986,estuary_elbe_auenelbe_461
26.33236967,0.151061321,,0.001106429,1991,estuary_floridacoastaleverglades_station10
26.38696682,0.097233582,,0.00056445,1991,estuary_floridacoastaleverglades_station11
26.27584211,0.131168934,,0.002460074,1992,estuary_floridacoastaleverglades_station38
26.30015789,0.1449452,,0.00170173,1992,estuary_floridacoastaleverglades_station39
25.87121053,0.118156767,,0.002496737,1992,estuary_floridacoastaleverglades_station40
26.10073684,0.09934683,,0.002605332,1992,estuary_floridacoastaleverglades_station41
25.88143229,0.19164518,,0.000417659,1989,estuary_floridacoastaleverglades_station9
14.47098592,8.59154386,8.091863636,0.058480268,1980,estuary_loire_4148000
15.92074689,6.851735537,,0.040834555,1982,estuary_loire_4148500
13.84181365,6.810251884,7.350755943,0.015759403,1997,lake_loire_k091410
13.18691099,8.294764398,,0.002570588,2000,river_adourgaronne_05005400
14.4681592,8.746783042,,0.00385,1993,river_adourgaronne_05007600
13.69585799,9.420658683,,0.003835727,1997,river_adourgaronne_05063900
9.33,10.84983784,,0.001293733,2004,river_adourgaronne_05069400
19.5144,9.07552,,0.018156667,2001,river_adourgaronne_05079900
14.5265625,9.232265625,8.034186047,0.005138966,2001,river_adourgaronne_05083585
20.0247191,9.270357143,,0.009280087,2000,river_adourgaronne_05084800
13.50550265,9.755185185,8.048829787,0.002534884,2001,river_adourgaronne_05086280
16.36595745,9.53337386,,0.004751638,1993,river_adourgaronne_05111500
14.20684932,8.823931624,,0.005360326,2000,river_adourgaronne_05111530
16.0539267,8.402985075,,0.007681667,2001,river_adourgaronne_05111650
10.02027972,10.35192857,,0.001522222,2006,river_adourgaronne_05140090
12.28926702,9.878073879,7.412868217,0.003990166,1987,river_bretagne_04164850
14.43547368,9.519572193,7.860125,0.017657377,2007,river_bretagne_04165800
