lat,lon,water_temp_celcius,doxy_mg_L,ammonia_umol_kg,pH,chl_a_mg_L,year,Remarks
40.8967,-69.1583,4.36,18.0,0.4,7.8152,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-08
40.8967,-69.1583,4.36,0.0,0.4,7.8055,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-09
40.2467,-67.7,6.07,15.2,0.3,7.7456,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-10
40.2467,-67.7,9.51,,,7.7437,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-11
40.2467,-67.7,7.54,0.0,0.5,7.8446,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-12
40.375,-67.7067,10.92,4.5,0.3,7.8059,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-13
40.375,-67.7067,12.28,4.9,0.4,7.9121,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-14
40.375,-67.7067,6.96,2.4,0.3,7.84,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-15
40.9317,-67.71,4.38,14.8,0.6,7.8495,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-16
40.9317,-67.71,4.37,0.0,0.9,7.8456,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-17
40.9317,-67.71,4.39,20.2,0.7,7.8514,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-18
41.755,-65.435,6.11,12.1,0.5,7.7321,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-19
41.755,-65.435,6.88,8.7,0.3,7.7344,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-20
41.755,-65.435,8.38,6.3,0.6,7.7334,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-21
41.755,-65.435,10.99,4.8,0.3,7.7931,,2014,data collected from NOAA Ship Gordon Gunter off the northeastern coast of the United States from 2014-03-01 to 2014-03-22
